ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
Abrasive Wheel Mfg.,50010,3291,327910,Abrasive Wheel Mfg.,1748,1741,513,1748,1754,1748,513,1701
,,3255,327124,Clay Milling,1747,1741,55,1748,1747,1747,55,1747
,,3291,327910,Emery Works,1747,1741,59,1748,1747,1747,59,1747
,,3291,327910,Flint or Spar Grinding,1741,1741,59,1748,1741,1741,59,1701
Abrasives or Abrasive Products Mfg.,50017,3291,327910,Silica Grinding,1741,1741,59,1748,1741,1741,50,1701
,,3291,327910,Soapstone or Soapstone Products Mfg.,1803,1803,855,1748,1814,1748,855,1803
,,3291,327910,Spar or Flint Grinding,1741,1741,59,1748,1741,1741,59,1701
,,3291,327910,Talc Mill,1747,1741,59,1748,1747,1747,59,1747
Abrasives or Abrasive Products Mfg.--Artificial,50015,3291,327910,Abrasive Paper or Cloth Preparation,1860,4279,255,4279,4250,1860,255,4279
Adhesive Mfg.,50045,"2891
2891
2891","325520
325520
325520","Glue Mfg.
Mucilage or Paste Mfg.
Paste or Mucilage Mfg.","4653
4557
4557","4665
4557
4557","563
563
563","4712
4712
4712","4653
4597
4597","4653
4597
4597","563
563
563","4653
4558
4558"
Adhesive Tape Mfg.,50047,2675,322231,Adhesive Tape Mfg.,4279,4279,259,4279,4279,4279,257,4279
Adult Day Care--Not-For-Profit Only,40005,8322,624120,Adult Day Care (Nonprofit),9101,9101,976,9101,9106,9101,976,9101
Adult Day Care--Other Than Not-For-Profit,40006,8322,624120,Adult Day Care,9101,9101,976,9101,9106,9101,976,9101
Advertising Sign Companies--Outdoor,90089,7312,541850,Advertising Co.--Away from Shop,9554,9549,679,9558,9549,9549,679,9552
Aerosol Container Mfg.,51001,3411,332431,Aerosol Container Mfg.,3220,3220,454,3315,3220,3220,454,3220
"Aerosol Containers--Filling or Charging for
Others",51005,7389,325998,Aerosol Products Packaging,2111,2111,923,2111,2111,2111,923,2111
,,181,111422,Bulb or Flower Farm--No Raising of Livestock,35,35,11,35,86,35,11,35
,,,,or Grain (NJ),,,,,,,,
,,279,112519,Aquaculture NOC (NAICS),170,34,34,34,9727,5,34,113
,,212,115210,Artificial Insemination of Cattle--All Other,83,38,83,129,83,6,83,83
,,,,Employees,,,,,,,,
,,174,111320,Citrus (Except Orange) Groves (NAICS),16,16,16,130,89,7,16,16
,,115,111150,Corn Farming (NAICS),37,171,6,128,85,6,6,37
,,131,111920,Cotton Farming (NAICS),37,44,6,128,85,6,6,37
,,119,111130,Dry Pea and Bean Farming (NAICS),8,172,6,11,74,31,6,8
,,762,115116,Farm Management Services (NAICS),37,171,6,128,85,6,6,11
,,271,112930,Farm: Animal Raising,170,34,34,34,9727,6,170,113
,,181,111422,Farm: Florist,35,35,11,35,35,35,11,35
,,182,111411,"Farm: Mushroom (DE, PA, MI, NAICS)",35,35,8,35,35,35,8,35
,,171,111334,Farm--Berry (Except Strawberry),79,79,16,11,79,31,16,79
,,171,111333,Farm--Berry (Strawberry),79,79,16,11,79,31,16,79
,,139,111998,Farm--Field Crops (NOC),37,171,6,128,85,6,6,37
,,119,111199,Farm--Field Crops (Other Grains),37,171,6,128,85,6,6,37
,,179,111336,Farm--Fruit and Tree Nut Combination,16,N/A,16,130,89,7,16,16
,,161,111219,Farm--Gardening--Market or Truck,8,172,6,11,74,31,6,8
,,214,112420,Farm--Goat Raising,83,34,83,129,83,6,83,83
FastComp.com,,1,,,,,(800 ) 476-2948,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
,,191,111998,Farm--NOC,37,171,6,128,85,6,6,11
,,175,111331,Farm--Orchard or Grove (Apples),16,16,16,130,89,7,16,16
Agriculture and Agricultural Services,N/A,175,111339,Farm--Orchard or Grove (Other Noncitrus,16,16,16,130,89,7,16,16
,,,,Fruit),,,,,,,,
,,173,111335,Farm--Orchard or Grove (Tree Nuts),16,45,16,130,89,7,16,16
,,214,112410,Farm--Sheep Raising,83,34,83,129,83,6,83,83
,,181,111421,Farm--Tree or Shrub,5,5,13,5,5,5,13,5
,,172,111332,Farm--Vineyard,79,40,16,11,79,31,16,79
,,182,111419,Food Crops (Except Mushrooms) Grown,35,172,11,11,74,35,11,8
,,,,under Cover (NAICS),,,,,,,,
,,831,113210,Forest Nurseries and Gathering of Forest,16,16,16,130,89,6,16,16
,,,,Products (NAICS),,,,,,,,
,,139,111940,Hay Farming (NAICS),37,171,6,128,85,6,6,37
,,213,112210,"Hog and Pig Farming (NJ, NAICS)",83,38,34,129,73,6,34,83
,,119,111120,Oilseed (Except Soybean) Farming (NAICS),37,171,6,128,85,6,6,37
,,119,111191,Oilseed and Grain Combination Farming,37,171,6,128,85,6,6,37
,,,,(NAICS),,,,,,,,
,,174,111310,Orange Groves (NAICS),16,16,16,130,89,7,16,16
,,139,111992,Peanut Farming (NAICS),37,171,6,128,85,6,6,37
,,134,111211,Potato Farming (NAICS),8,41,6,11,74,31,6,8
,,112,111160,Rice Farming (NAICS),37,171,6,128,85,6,6,37
,,116,111110,Soybean Farming (NAICS),37,171,6,128,85,6,6,37
,,133,111991,Sugar Beet Farming (NAICS),37,171,6,128,85,6,6,37
,,133,111930,Sugarcane Farming (NAICS),37,171,6,128,85,6,6,37
,,132,111910,Tobacco Farming (NAICS),37,171,6,128,85,6,6,37
,,161,111219,Vegetable (Except Potato) and Melon,8,172,6,11,74,31,6,8
,,,,Farming (NAICS),,,,,,,,
,,111,111140,Wheat Farming (NAICS),37,171,6,128,85,6,6,37
Air Conditioning Equipment Mfg.,51116,3585,333415,Air Conditioning and Refrigeration Equipment,3179,3165,456,3179,3179,3179,456,3179
,,,,Mfg. (CA),,,,,,,,
Air Conditioning Equipment--Dealers or,10010,5075,423730,Air Conditioning Equipment--Dealers or,8010,8018,926,8010,8010,7999,926,8018
Distributors Only,,,,Distributors Only (CGL),,,,,,,,
Air Conditioning Systems or Equipment--Dealers,91111,1711,238220,"Heating, Ventilation, Air Conditioning and",5537,5538,664,5550,5538,5536,664,5536
"or Distributors and Installation, Servicing or",,,,"Refrigeration Systems--Installation, Service",,,,,,,,
Repair,,,,and Repair,,,,,,,,
,,1711,238220,"Plumbing, Heating, and Air Conditioning",5537,5538,664,5550,5538,5536,664,5536
,,,,Contractors (NAICS),,,,,,,,
,,4512,481111,Airline--Scheduled or Supplemental--All Other,7403,7403,7428,7423,7403,7403,7428,7423
,,,,Employees (NJ),,,,,,,,
,,4512,481111,Aviation--Air Carrier--Commuter--Flying Crew,7405,7405,7413,7405,7405,7405,7413,7405
,,,,"(DE, PA)",,,,,,,,
,,4512,481112,"Aviation--Air Carrier--Scheduled, Commuter",7405,7405,7405,7405,7405,7405,7405,7405
,,,,or Supplemental--Flying Crew (Freight),,,,,,,,
,,4512,481111,Aviation--Air Charter or Air Taxi--Flying Crew,7431,7405,7424,7405,7431,7431,7424,7418
FastComp.com 2 (800 ) 476-2948,,,,,,,,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
,,4522,481212,Aviation--Air Charter or Air Taxi--Flying Crew,7431,7405,7424,7405,7431,7431,7424,7405
,,,,(Nonscheduled Chartered Freight),,,,,,,,
,,4522,481211,Aviation--Air Charter or Air Taxi--Flying Crew,7431,7405,7424,7405,7431,7431,7424,7405
,,,,(Nonscheduled Chartered Passenger),,,,,,,,
,,8249,611512,Aviation--All Other Employees (Ground,7403,7428,7428,7423,7403,7403,7428,7423
,,,,Personnel),,,,,,,,
Air Transportation Companies,N/A,4522,487990,Aviation--Flight Testing--Flying Crew,7422,7424,7424,7422,7426,7422,7424,7422
,,4522,487990,Aviation--Helicopters--Flying Crew,7425,7424,7424,7422,7425,7422,7424,7422
,,4522,487990,Aviation--NOC--Other Than Helicopters--,7422,7424,7424,7422,7424,7422,7424,7422
,,,,Flying Crew,,,,,,,,
,,7335,481219,Aviation--Patrol or Photography--Other Than,7422,7424,7424,7422,7426,7422,7424,7418
,,,,Mapping or Survey Work--Flying Crew (NJ),,,,,,,,
,,7335,481219,"Aviation--Patrol, Photography, Mapping or",7403,7428,7428,7423,7428,7403,7428,7423
,,,,Survey Work--All Other Employees,,,,,,,,
,,8249,611512,Aviation--Sales or Service Agency or Student,7422,7424,7424,7422,7424,7422,7424,7422
,,,,Instruction--Flying Crew,,,,,,,,
,,7999,713990,"Aviation--Stunt Flying, Racing or Parachute",7420,7424,7424,7422,7427,7422,7424,7418
,,,,Jumping: Flying Crew,,,,,,,,
,,4522,487990,Aviation--Transportation of Personnel in,7421,7421,7421,7421,7424,7421,7421,7421
,,,,Conduct of Employer's Business--Flying Crew,,,,,,,,
,,4581,488190,Aviation--Transportation of Personnel in,7403,7428,7428,7423,7428,7421,7428,7423
,,,,Conduct of Employer's Business--Ground,,,,,,,,
,,,,Crew,,,,,,,,
,,3724,336412,Aircraft Engine Mfg.,3826,3805,461,3629,3826,3826,461,3805
,,3728,336413,Aircraft Parts and Auxiliary Equipment Mfg.,3076,3076,456,3076,3066,3832,456,3066
,,,,NOC (NAICS),,,,,,,,
,,3721,336411,Airplane Mfg.,3830,3830,744,3628,3830,3830,744,3830
Aircraft or Aircraft Parts Mfg.,51201,3724,336412,Engine Mfg.--Aircraft,3826,3805,461,3629,3826,3826,461,3805
,,3761,336414,Guided Missile and Space Vehicle Mfg.,3830,3830,744,3628,3830,3830,744,3830
,,,,(NAICS),,,,,,,,
,,3769,336419,Guided Missile and Space Vehicle Parts and,3076,3076,456,3076,3066,3832,456,3066
,,,,Auxiliary Equipment Mfg.,,,,,,,,
,,3764,336415,Guided Missile and Space Vehicle Propulsion,3826,3805,461,3629,3826,3826,461,3805
